number_of__talk__download_languages,comment_count,number_of__subtitled_videos,number_of__talk__more_resources,work_tag,number_of__talk__recommendations,growth_tag,personal_tag,success_tag,author_occupation,leadership_tag,psychology_tag,business_tag,brain_tag,psychologist_occupation,happiness_tag,number_of__talks__take_actions,age_months,ted salon talk  partner _video,duration,self_tag,ted institute talk_video,communication_tag,subjectivity,ted stage talk_video,ted  original_video,engineer_occupation,researcher_occupation,artist_occupation,teaching_tag,writer_occupation,technology_tag,best web_video,tedx talk_video,body_tag,philosopher_occupation,comedian_occupation,original content_video,comedy_tag,entrepreneur_tag
37,425.0,37,4,0,0,0,0,0,1,0,1,0,0,1,0,0,64,0,1044,1,0,0,0.4357379494426128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,170.0,27,1,0,0,0,0,0,1,0,0,0,1,0,0,0,13,0,1158,0,0,0,0.4749535368645313,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,183.0,32,2,0,0,1,1,0,1,0,0,0,0,1,0,0,28,0,745,0,0,0,0.5129142884716132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,173.0,35,1,0,1,0,0,0,0,0,0,0,1,0,0,1,26,0,852,0,0,1,0.3960199937519524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,396.6666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,244,0,0,0,0.5222659366777013,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,620.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,310,0,0,0,0.36898523929773935,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,844.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1761,0,0,0,0.5004470662034357,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
32,260.0,32,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,0,918,0,0,0,0.4841524736415248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,483.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,23,0,791,1,0,0,0.5178430093498588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,706.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,297,0,0,0,0.2363653273809524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,929.0,46,1,0,1,0,0,0,0,1,0,1,0,0,0,1,114,0,898,0,0,0,0.4675314909154686,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,665.0,42,3,0,1,0,0,0,1,0,0,0,0,0,0,0,85,0,1151,0,0,0,0.4368746469119606,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,173.0,37,1,1,1,1,1,0,1,0,0,0,0,0,1,1,42,0,714,0,0,0,0.5074468816397948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,178.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,375,0,0,0,0.4083287280095793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,184.0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,1102,0,0,0,0.4517383439106739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,132.0,35,1,0,0,1,1,1,0,0,0,0,0,0,1,0,37,0,1071,0,0,1,0.4560345081607968,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,232.0,26,5,0,1,0,0,0,0,0,0,0,1,0,0,0,35,0,1021,0,0,0,0.4759549577406722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,642.0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,914,0,0,0,0.4300191686844229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
